j1p4,j1p4,j1p4,j1p4,j2p4,j2p4,j2p4,j2p4,j3p4,j3p4,j3p4,j3p4,dR12,dR13,dR23,j1btag,j2btag,j3btag,j1area,j2area,j3area
pt,phi,eta,mass,pt,phi,eta,mass,pt,phi,eta,mass,,,,,,,,,
51.6875,0.86376953,1.3913574,8.9140625,51.1875,-0.9063721,-0.049842834,7.4882812,49.84375,1.8232422,-1.3632812,7.4882812,2.2826433,2.9169543,3.0291772,0.12731934,0.12731934,0.12731934,0.5185547,0.47875977,0.47875977
51.6875,0.86376953,1.3913574,8.9140625,51.1875,-0.9063721,-0.049842834,7.4882812,36.3125,1.5561523,0.081832886,7.4882812,2.2826433,1.4812995,2.4660423,0.12731934,0.12731934,0.12731934,0.5185547,0.47875977,0.5185547
51.6875,0.86376953,1.3913574,8.9140625,51.1875,-0.9063721,-0.049842834,7.4882812,34.0625,-1.3361816,1.6652832,7.4882812,2.2826433,2.2169397,1.768161,0.12731934,0.12731934,0.12731934,0.5185547,0.47875977,0.46875
51.6875,0.86376953,1.3913574,8.9140625,49.84375,1.8232422,-1.3632812,7.2890625,36.3125,1.5561523,0.081832886,7.2890625,2.9169543,1.4812995,1.469589,0.12731934,0.12731934,0.12731934,0.5185547,0.47875977,0.5185547
51.6875,0.86376953,1.3913574,8.9140625,49.84375,1.8232422,-1.3632812,7.2890625,34.0625,-1.3361816,1.6652832,7.2890625,2.9169543,2.2169397,4.350872,0.12731934,0.12731934,0.12731934,0.5185547,0.47875977,0.46875
51.6875,0.86376953,1.3913574,8.9140625,36.3125,1.5561523,0.081832886,5.2773438,34.0625,-1.3361816,1.6652832,5.2773438,1.4812995,2.2169397,3.29741,0.12731934,0.12731934,0.12731934,0.5185547,0.5185547,0.46875
51.1875,-0.9063721,-0.049842834,7.4882812,49.84375,1.8232422,-1.3632812,7.2890625,36.3125,1.5561523,0.081832886,7.2890625,3.0291772,2.4660423,1.469589,0.095214844,0.095214844,0.095214844,0.47875977,0.47875977,0.5185547
51.1875,-0.9063721,-0.049842834,7.4882812,49.84375,1.8232422,-1.3632812,7.2890625,34.0625,-1.3361816,1.6652832,7.2890625,3.0291772,1.768161,4.350872,0.095214844,0.095214844,0.095214844,0.47875977,0.47875977,0.46875
51.1875,-0.9063721,-0.049842834,7.4882812,36.3125,1.5561523,0.081832886,5.2773438,34.0625,-1.3361816,1.6652832,5.2773438,2.4660423,1.768161,3.29741,0.095214844,0.095214844,0.095214844,0.47875977,0.5185547,0.46875
49.84375,1.8232422,-1.3632812,7.2890625,36.3125,1.5561523,0.081832886,5.2773438,34.0625,-1.3361816,1.6652832,5.2773438,1.469589,4.350872,3.29741,0.1295166,0.1295166,0.1295166,0.47875977,0.5185547,0.46875
55.03125,-2.5039062,-0.73291016,9.84375,51.78125,-2.1635742,-1.2419434,8.015625,49.21875,1.2695312,-1.6118164,8.015625,0.612324,2.6591935,2.87398,0.5986328,0.5986328,0.5986328,0.4987793,0.4387207,0.46875
55.03125,-2.5039062,-0.73291016,9.84375,51.78125,-2.1635742,-1.2419434,8.015625,42.96875,-0.4586792,-0.4711914,8.015625,0.612324,2.0619047,1.8710226,0.5986328,0.5986328,0.5986328,0.4987793,0.4387207,0.4987793
55.03125,-2.5039062,-0.73291016,9.84375,51.78125,-2.1635742,-1.2419434,8.015625,31.6875,2.1967773,0.22167969,8.015625,0.612324,1.8481215,2.416502,0.5986328,0.5986328,0.5986328,0.4987793,0.4387207,0.55859375
55.03125,-2.5039062,-0.73291016,9.84375,49.21875,1.2695312,-1.6118164,8.578125,42.96875,-0.4586792,-0.4711914,8.578125,2.6591935,2.0619047,2.0706854,0.5986328,0.5986328,0.5986328,0.4987793,0.46875,0.4987793
55.03125,-2.5039062,-0.73291016,9.84375,49.21875,1.2695312,-1.6118164,8.578125,31.6875,2.1967773,0.22167969,8.578125,2.6591935,1.8481215,2.0546272,0.5986328,0.5986328,0.5986328,0.4987793,0.46875,0.55859375
55.03125,-2.5039062,-0.73291016,9.84375,42.96875,-0.4586792,-0.4711914,6.1757812,31.6875,2.1967773,0.22167969,6.1757812,2.0619047,1.8481215,2.7443614,0.5986328,0.5986328,0.5986328,0.4987793,0.4987793,0.55859375
51.78125,-2.1635742,-1.2419434,8.015625,49.21875,1.2695312,-1.6118164,8.578125,42.96875,-0.4586792,-0.4711914,8.578125,2.87398,1.8710226,2.0706854,0.85058594,0.85058594,0.85058594,0.4387207,0.46875,0.4987793
51.78125,-2.1635742,-1.2419434,8.015625,49.21875,1.2695312,-1.6118164,8.578125,31.6875,2.1967773,0.22167969,8.578125,2.87398,2.416502,2.0546272,0.85058594,0.85058594,0.85058594,0.4387207,0.46875,0.55859375
51.78125,-2.1635742,-1.2419434,8.015625,42.96875,-0.4586792,-0.4711914,6.1757812,31.6875,2.1967773,0.22167969,6.1757812,1.8710226,2.416502,2.7443614,0.85058594,0.85058594,0.85058594,0.4387207,0.4987793,0.55859375
49.21875,1.2695312,-1.6118164,8.578125,42.96875,-0.4586792,-0.4711914,6.1757812,31.6875,2.1967773,0.22167969,6.1757812,2.0706854,2.0546272,2.7443614,0.5175781,0.5175781,0.5175781,0.46875,0.4987793,0.55859375
160.25,1.262207,1.2233887,19.15625,82.25,1.487793,1.7910156,15.171875,77.1875,1.2236328,0.6253662,15.171875,0.6108104,0.5992653,1.1952068,0.24328613,0.24328613,0.24328613,0.4987793,0.42895508,0.45874023
105.3125,0.49694824,-0.5905762,17.734375,46.1875,-0.5272217,-1.2451172,6.8828125,43.65625,1.9111328,-2.0097656,6.8828125,1.2154623,2.0035012,2.5554373,0.27246094,0.27246094,0.27246094,0.50878906,0.47875977,0.48876953
78.5625,2.1347656,-0.66955566,11.453125,73.4375,-1.1428223,1.1669922,10.703125,67.125,-1.2487793,-0.61157227,10.703125,3.5222895,2.90022,1.7817178,0.09454346,0.09454346,0.09454346,0.48876953,0.4987793,0.48876953
128.625,2.8823242,0.057167053,13.0078125,88.625,0.64160156,-0.6800537,9.2421875,60.5625,-1.213623,-2.3725586,9.2421875,2.358884,3.2691858,2.511261,0.8720703,0.8720703,0.8720703,0.50878906,0.5288086,0.46875
128.625,2.8823242,0.057167053,13.0078125,88.625,0.64160156,-0.6800537,9.2421875,36.90625,-1.9697266,0.15283203,9.2421875,2.358884,1.4343282,2.7409368,0.8720703,0.8720703,0.8720703,0.50878906,0.5288086,0.5185547
128.625,2.8823242,0.057167053,13.0078125,88.625,0.64160156,-0.6800537,9.2421875,33.4375,-2.2612305,-0.6951904,9.2421875,2.358884,1.3655766,2.9028718,0.8720703,0.8720703,0.8720703,0.50878906,0.5288086,0.5185547
128.625,2.8823242,0.057167053,13.0078125,60.5625,-1.213623,-2.3725586,10.0625,36.90625,-1.9697266,0.15283203,10.0625,3.2691858,1.4343282,2.6361506,0.8720703,0.8720703,0.8720703,0.50878906,0.46875,0.5185547
128.625,2.8823242,0.057167053,13.0078125,60.5625,-1.213623,-2.3725586,10.0625,33.4375,-2.2612305,-0.6951904,10.0625,3.2691858,1.3655766,1.9776365,0.8720703,0.8720703,0.8720703,0.50878906,0.46875,0.5185547
